Video Information,,,,,,,,,,Dolphin Information,,,,,,,,,,,,,,,,,,Vessel and Swimmer Information,,,,,,,,NOTES
Posted_Date,Interaction_Date,Encounter_No,Platform,Search_Term,Hashtags,Video_Length,Time_Point,Video_Quality,Video_Location,Dolphin_Presence,General_Location,BSS,DSS,Total_Min,Total_Max,Total_Best,Calves_Min,Calves_Max,Calves_Best,YoY_Min,YoY_Max,YoY_Best,Sex,Subgroups,Group_Cohesion,PDGBehav,HIBehav,Vessels_10m,Vessels_50m,PDVBehav,Vessel_Names,Swimmers_10,Swimmers_50,PDSBehav,IRC,
02/14/2023,NA,0005,FB,Icacos_Dolphins,#PuertoRico#PR#Dolphins#Beach#Clearwater,0:29,0:10,3,BO,Y,Icacos_WestBeach,1,0,1,1,1,0,0,0,0,0,0,UNK,1,NA,HI,RC,2,3,NP,NA,3,3,TCH,"D1,D2",Dolphin encircles swimmer while remaining within arms reach
02/14/2023,NA,0005,FB,Icacos_Dolphins,#PuertoRico#PR#Dolphins#Beach#Clearwater,0:29,0:15,3,BO,Y,Icacos_WestBeach,1,0,1,1,1,0,0,0,0,0,0,UNK,1,NA,HI,RC,2,3,NP,NA,3,3,CHA,"D1,D2",
02/14/2023,NA,0005,FB,Icacos_Dolphins,#PuertoRico#PR#Dolphins#Beach#Clearwater,0:29,0:20,3,BO,Y,Icacos_WestBeach,1,0,1,1,1,0,0,0,0,0,0,UNK,1,NA,HI,RC,2,3,NP,NA,6,6,TCH,"D1,D2",At this point a new video of the same interaction starts
02/14/2023,NA,0005,FB,Icacos_Dolphins,#PuertoRico#PR#Dolphins#Beach#Clearwater,0:29,0:25,3,BO,Y,Icacos_WestBeach,1,0,1,1,1,0,0,0,0,0,0,UNK,1,NA,TRV,NA,1,1,NP,NA,0,0,NA,NA,Again a new video start of the same interaction
01/30/2024,NA,0006,FB,Icacos_Dolphins,#aventurea#ocean#icacos#luxury#palominos#vieques#culebra#culebrita#Fun#puertorico#privateboat#yacht#snorkeling#dolphins,0:27,0:05,4,BO,Y,Icacos_WestBeach,1,1,4,4,4,1,1,1,0,0,0,UNK,1,1,TRV,NA,1,1,NP,Lucky_Penny,0,0,NA,D2,
01/30/2024,NA,0006,FB,Icacos_Dolphins,#aventurea#ocean#icacos#luxury#palominos#vieques#culebra#culebrita#Fun#puertorico#privateboat#yacht#snorkeling#dolphins,0:27,0:10,4,BO,Y,Icacos_WestBeach,1,1,4,4,4,1,1,1,0,0,0,UNK,1,1,RML,NA,1,1,NP,Lucky_Penny,0,0,NA,NA,
01/30/2024,NA,0006,FB,Icacos_Dolphins,#aventurea#ocean#icacos#luxury#palominos#vieques#culebra#culebrita#Fun#puertorico#privateboat#yacht#snorkeling#dolphins,0:27,0:15,4,BO,Y,Icacos_WestBeach,1,1,4,4,4,1,1,1,0,0,0,UNK,1,2,RML,NA,1,1,NP,Lucky_Penny,0,0,NA,D2,Calf and mother continue swimming while two other adults continue to rub on mooring line
01/30/2024,NA,0006,FB,Icacos_Dolphins,#aventurea#ocean#icacos#luxury#palominos#vieques#culebra#culebrita#Fun#puertorico#privateboat#yacht#snorkeling#dolphins,0:27,0:20,4,BO,Y,Icacos_WestBeach,1,1,2,4,4,0,1,1,0,0,0,UNK,2,2,RML,NA,1,1,NP,Lucky_Penny,0,0,NA,D2,
01/30/2024,NA,0006,FB,Icacos_Dolphins,#aventurea#ocean#icacos#luxury#palominos#vieques#culebra#culebrita#Fun#puertorico#privateboat#yacht#snorkeling#dolphins,0:27,0:25,4,BO,Y,Icacos_WestBeach,1,1,4,4,4,1,1,1,0,0,0,UNK,2,2,ML,NA,1,4,NP,Lucky_Penny,2,0,NA,D2,
01/17/2024,NA,0007,FB,Icacos_Dolphins,#tiratepr#palominos#fajardo,0:54,0:05,3,BO,Y,Palominos,1,0,1,1,1,0,0,0,0,0,0,UNK,1,NA,TRV,NA,1,1,NP,NA,0,0,NA,D2,
01/17/2024,NA,0007,FB,Icacos_Dolphins,#tiratepr#palominos#fajardo,0:54,0:10,3,BO,N,Palominos,1,0,0,1,1,0,0,0,0,0,0,UNK,1,NA,NA,NA,1,1,NP,NA,2,2,NP,NA,
